assumptions,downscaling,harmonisation,model,modified,region,scenario,sector,source,unit,variable,2015-01-01,2020-01-01,2030-01-01,2040-01-01,2050-01-01,2060-01-01,2070-01-01,2080-01-01,2090-01-01,2100-01-01
med,intensity_convergence,aneris_constant_ratio,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,kt CH4/yr,Emissions|CH4|Energy Sector,146.0657336842714,114.96680257751844,85.6800859648591,60.01318469201501,39.78023943096263,26.26995913791206,17.698158416173854,10.5822049544923,6.136078802594051,3.0120012189959224
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.0565821138786367,0.059001369833820885,0.07532904403788898,0.09316361397202418,0.11012685232122199,0.11038957137857368,0.09881165708043697,0.09010586563743554,0.08634056099110139,0.08455697843611464
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,Emissions|H2|Agriculture,0.0087294500775895,0.007470224355356263,0.006195610943768027,0.005044735757176303,0.0040963310720927805,0.0032166272884687572,0.002449398466675675,0.0017855996108868952,0.0012460017335182813,0.000884936825339372
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,Emissions|H2|Energy Sector,0.009293391743776,0.0076293570106842675,0.006023978248050258,0.004820371456281478,0.003915284375703535,0.003213504140011726,0.00264617809096937,0.0023982503044921626,0.0022619232995301284,0.0017972569721178197
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,Emissions|H2|Industrial Sector,0.007585554052361998,0.00606703442327502,0.004640457918332315,0.0036696317130014617,0.0028955158497710114,0.0021949184254731247,0.0015215665500230263,0.0009923687351027057,0.0005935243097126989,0.00038218254387800964
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",0.0207565764500506,0.016509479126937468,0.012528868071970439,0.009857818191161445,0.007713327506911076,0.005831952740779385,0.004026298390743943,0.0026101964509199402,0.0015560604136507306,0.0010039616697728113
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,Emissions|H2|Solvents production and application,0.00021957883882219996,0.0001809632655903026,0.0001429981251205693,0.00011826471944094922,9.715866009282385e-05,7.538835358737434e-05,5.3977451590112495e-05,3.7130864728132055e-05,2.340073235188841e-05,1.5545000494932604e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,Emissions|H2|Transportation Sector,0.0101899950261179,0.008127042296880792,0.006190571224678012,0.004887064733703626,0.0038782813618701093,0.0030263941396691083,0.0022391925264316406,0.0017241850607959443,0.0013680894654232985,0.001017245625931041
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,Mt H2/yr,Emissions|H2|Waste,0.0039579004325953,0.0033857641477396568,0.002806831887960912,0.0022857631104378777,0.0018562385077877516,0.0014574462727730388,0.0011092200872308594,0.0008082300781086828,0.0005635508966878664,0.00040005846277222387
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,kt NH3/yr,Emissions|NH3|Energy Sector,2.670473709121117,2.230846060592399,1.7776964895809482,1.384569567779305,1.0878232439577566,0.9062164504886604,0.7017362084735833,0.5182203421480235,0.3581770762491942,0.23549094173991733
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.001694674556965,0.002169192428783942,0.00406741997710312,0.0064990622042510795,0.00988786337967147,0.013046748293102017,0.014901387980533387,0.017960909891064396,0.01902533812196215,0.017734272434870635
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,kt NOx/yr,Emissions|NOx|Energy Sector,0.5810084986982705,0.6236711142449334,0.6856197795496712,0.865922154539048,1.000115349211579,1.3034510367156948,1.5366184416506703,1.8544577998191294,2.012112493299854,1.7530120848081248
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SOM,SSP2-45,,,kt NOx/yr,Emissions|NOx|Transportation Sector,3.088889543381117,2.545288043785881,2.548991798486153,2.6298972952591457,2.51097507998263,2.1669505735477994,1.635692465060184,1.3306243115221272,1.1260201115486648,0.9138525656084662
med,intensity_convergence,aneris_constant_ratio,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,kt CH4/yr,Emissions|CH4|Energy Sector,0.929487685430721,1.1858616083346714,1.846999597743952,2.580351327987447,3.5989961702073727,5.037959373316295,8.51095896519215,13.522520671420132,20.197469629484818,28.660633973982495
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.6008059061708226,0.6217510571222882,0.6867521387099427,0.7191609529738898,0.6755710059265113,0.5306009673290186,0.33932782208332174,0.2092212758712917,0.0861899131423129,0.029085207751684026
med,intensity_convergence,aneris_reduce_offset_2150_cov,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,Emissions|H2|Agriculture,0.0037478075333661,0.00349009537849614,0.003502339066239563,0.0030314449957531183,0.0027508567086299155,0.0024640030437895056,0.0021628778165724435,0.0019468713919193594,0.0017387046279201063,0.0014943655696163644
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,Emissions|H2|Energy Sector,0.003987059551810799,0.0033719223041080272,0.0030416841408759413,0.0031384687371142426,0.0029293694871080256,0.0033071636408340765,0.004512867557599056,0.007525974482439998,0.011996363203691332,0.01770144138798756
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,Emissions|H2|Industrial Sector,0.0032543614402677,0.0028180126390240485,0.0025970785045205803,0.0021566117780855766,0.0018866856243520724,0.0016176698113953114,0.0012828270948460555,0.0010283588778871196,0.000792619037180949,0.0006214940176183241
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",0.0089050056943409,0.0076683203864437175,0.007011923513022918,0.005793378762776514,0.005025942347289008,0.00429821414808375,0.003394577585969145,0.002704873541547735,0.002078038175961129,0.0016326129533563122
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,Emissions|H2|Solvents production and application,9.427160004254532e-05,8.410886964696252e-05,8.007305662012558e-05,6.953205702015207e-05,6.332627619896425e-05,5.557163792339112e-05,4.5511206064044414e-05,3.8476056085992e-05,3.1249947313733816e-05,2.5278822819700193e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,Emissions|H2|Transportation Sector,0.0043717211242061,0.003750763267596245,0.0034110203147756702,0.0029784040577890245,0.0028298557305900945,0.00280463717432478,0.0031112925241535134,0.004318493129125724,0.006121232685848105,0.008371738077558933
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,Mt H2/yr,Emissions|H2|Waste,0.0016992420972398,0.0015736162273825122,0.0015716238003217358,0.001343779881785258,0.0012097526789087074,0.001074230813482047,0.0009351524885311903,0.0008374522871722053,0.0007525579783226354,0.0006505633114156114
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,kt NH3/yr,Emissions|NH3|Energy Sector,0.40304567998453594,0.3463799417786803,0.24099728694474082,0.1499170631728523,0.11916293581436982,0.09295442805613834,0.06215088344873408,0.05122122768564333,0.046532388331154736,0.048516851159635284
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.2255297975771026,0.15942654159645553,0.18988820471357407,0.19459704872902953,0.17304117562019936,0.14455157738551483,0.14672507635982301,0.1911935184727654,0.21013156123381183,0.17637503628476728
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,kt NOx/yr,Emissions|NOx|Energy Sector,81.77478011093581,58.03186739368633,38.8252618200397,27.43002664343378,19.313879249173386,14.578752866392579,12.363910896210403,13.034779667507108,14.51353217390521,17.230472731640322
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SRB,SSP2-45,,,kt NOx/yr,Emissions|NOx|Transportation Sector,37.31463286631048,22.503538462730834,13.978693218926072,12.613351519218595,10.059521121499497,6.915120972781322,4.895983493789947,4.348297360483916,4.431659240961542,4.122125415717649
med,intensity_convergence,aneris_constant_ratio,MESSAGE-GLOBIOM,,STP,SSP2-45,,,kt CH4/yr,Emissions|CH4|Energy Sector,1.40984739682755,2.2848426281579113,2.9000874816383835,2.852773861987713,2.315795407815149,1.7837114356417252,1.4174319473844583,1.0412332802855866,0.7861802484197756,0.5332622015113908
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.0111673357931579,0.02007685662438226,0.030609040877115162,0.037276002941204235,0.03783507823545084,0.03101473951595914,0.022959556254384405,0.018034843629238115,0.015777558140826254,0.01497045890606418
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,Emissions|H2|Agriculture,0.0001151694557778,0.00019923252089927267,0.0002712628031496502,0.00029899653438986124,0.00028659397832624274,0.0002530097828878831,0.00021904689931734832,0.0001891000488409322,0.00016562187230979633,0.00015667435879600597
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,Emissions|H2|Energy Sector,0.0001226096558142,0.00020347662369593609,0.0002637481986053674,0.00028569868260188325,0.00027392730366838474,0.0002527641258557783,0.00023664467572522284,0.0002539814899976285,0.00030066087535168904,0.00031819681997098887
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,Emissions|H2|Industrial Sector,0.00010007779690799998,0.0001618091378560722,0.0002031734455648606,0.0002174954680458087,0.00020258064889968925,0.0001726453780568108,0.00013607195375600696,0.00010509465567307288,7.889283360660204e-05,6.766381880667061e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",0.0002738458427868,0.00044031142690319143,0.0005485521773948074,0.0005842632037981172,0.0005396519903869981,0.000458723055060399,0.0003600672533350167,0.00027642718633223414,0.0002068356987018679,0.00017774720902489312
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,Emissions|H2|Solvents production and application,2.896949423241326e-06,4.826329957263826e-06,6.260895433465518e-06,7.009433785138083e-06,6.797567490225351e-06,5.929810718760976e-06,4.827141669568986e-06,3.932263588537158e-06,3.110487731503265e-06,2.752177234903914e-06
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,Emissions|H2|Transportation Sector,0.0001344387299435,0.00021674999936265477,0.0002710421488283817,0.00028965152766178485,0.0002713384404251603,0.00023804664188349238,0.00020024842285261025,0.00018259607429314134,0.00018185009912539323,0.00018009907782927555
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,Mt H2/yr,Emissions|H2|Waste,5.2217405998463945e-05,9.029907192024484e-05,0.00012289168781072165,0.000135474934932916,0.000129869087558281,0.00011463813863888329,9.919628189292402e-05,8.559385111489631e-05,7.490868763702398e-05,7.082867538224183e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,kt NH3/yr,Emissions|NH3|Energy Sector,0.0321718041627984,0.054620319995842416,0.07222116966422193,0.0769637203302668,0.07214672612590545,0.06829635719642582,0.06077477000984908,0.053720064844937764,0.0471035985503134,0.04169268499502189
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.0003269909516999,0.0007225841429038919,0.0016222523656908878,0.002559182438480252,0.0033521760565935962,0.0036267760297188636,0.0034349134730035356,0.0035758297471264948,0.0034673836539888016,0.0031397786631621838
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,kt NOx/yr,Emissions|NOx|Energy Sector,0.2946088613321291,0.5157944928148683,0.6059644141658747,0.6744153514820742,0.5985578871110999,0.5709243115076912,0.498143125902332,0.46344492940630894,0.41085456025252615,0.3103634479711406
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,STP,SSP2-45,,,kt NOx/yr,Emissions|NOx|Transportation Sector,0.7647942351014444,1.0721361028262422,1.2483896047971845,1.2348986583782804,0.9857536932398551,0.6773743957540288,0.411729249614489,0.28092126283053315,0.21132748792597736,0.16179376951104182
med,intensity_convergence,aneris_constant_ratio,MESSAGE-GLOBIOM,,SUR,SSP2-45,,,kt CH4/yr,Emissions|CH4|Energy Sector,4.004909952512772,4.016152103243398,5.027669971553784,5.3826006179056725,4.597042224366807,3.7056925635959095,3.217104421595311,3.1160923139030863,2.9316554496258553,2.5697512290515694
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,SUR,SSP2-45,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.029032879619394093,0.03613702750395804,0.052624392037378835,0.06849593335746913,0.07827305467054474,0.06699694090036756,0.07197480325846609,0.0645341203558521,0.06433265282661009,0.0727534709189535
